Yettie1,Goundry,ysafrsa@w.com,5T2,12/12/2001,87,73,34
Yettie2,Goundry,ysafrsa@w.com,5T2,12/12/2001,87,73,34
Yettie3,Goundry,ysafrsa@w.com,5T2,12/12/2001,87,73,34
Yettie4,Goundry,ysafrsa@w.com,5T2,12/12/2001,87,73,34
Yettie5,Goundry,ysafrsa@w.com,5T2,12/12/2001,87,73,34
Yettie6,Goundry,ysafrsa@w.com,5T2,12/12/2001,87,73,34
Yettie7,Goundry,ysafrsa@w.com,5T2,12/12/2001,87,73,34
Yettie8,Goundry,ysafrsa@w.com,5T2,12/12/2001,87,73,34
Yettie9,Goundry,ysafrsa@w.com,5T2,12/12/2001,87,73,34
Yettie10,Goundry,ysafrsa@w.com,5T2,12/12/2001,87,73,34
